Dataset,Model,Run,Accuracy,Precision,Recall,F1 Score,ROC-AUC
Preprocessed (All Features),Logistic Regression,24,0.8809523809523809,0.7727272727272727,0.3617021276595745,0.4927536231884058,0.8181583254371608
Preprocessed (All Features),Logistic Regression,25,0.891156462585034,0.8,0.425531914893617,0.5555555555555556,0.8660522008786286
Preprocessed (All Features),Logistic Regression,26,0.8877551020408163,0.85,0.3617021276595745,0.5074626865671642,0.8273753122577311
Preprocessed (All Features),Logistic Regression,27,0.8877551020408163,0.7333333333333333,0.46808510638297873,0.5714285714285714,0.799293651477302
Preprocessed (All Features),Logistic Regression,28,0.8843537414965986,0.7096774193548387,0.46808510638297873,0.5641025641025641,0.8067016969592556
Preprocessed (All Features),Logistic Regression,29,0.8945578231292517,0.8333333333333334,0.425531914893617,0.5633802816901409,0.865018520113705
Preprocessed (All Features),Logistic Regression,30,0.8945578231292517,0.7222222222222222,0.5531914893617021,0.6265060240963856,0.873546386424326
Preprocessed (All Features),Logistic Regression,31,0.8843537414965986,0.8095238095238095,0.3617021276595745,0.5,0.8429666637953313
Preprocessed (All Features),Logistic Regression,32,0.8741496598639455,0.7083333333333334,0.3617021276595745,0.4788732394366197,0.8060987165130503
Preprocessed (All Features),Logistic Regression,33,0.8809523809523809,0.75,0.3829787234042553,0.5070422535211268,0.8299595141700405
Preprocessed (All Features),Logistic Regression,34,0.8571428571428571,0.5862068965517241,0.3617021276595745,0.4473684210526316,0.7962787492462745
Preprocessed (All Features),Logistic Regression,35,0.8979591836734694,0.7741935483870968,0.5106382978723404,0.6153846153846154,0.84081316220174
Preprocessed (All Features),Logistic Regression,36,0.8707482993197279,0.6666666666666666,0.3829787234042553,0.4864864864864865,0.797140149883711
Preprocessed (All Features),Logistic Regression,37,0.8571428571428571,0.5862068965517241,0.3617021276595745,0.4473684210526316,0.8164355241622878
Preprocessed (All Features),Logistic Regression,38,0.8741496598639455,0.7272727272727273,0.3404255319148936,0.463768115942029,0.8195365664570592
Preprocessed (All Features),Logistic Regression,39,0.8707482993197279,0.6956521739130435,0.3404255319148936,0.45714285714285713,0.823240589198036
Preprocessed (All Features),Logistic Regression,40,0.8877551020408163,0.7916666666666666,0.40425531914893614,0.5352112676056338,0.8064432767680249
Preprocessed (All Features),Logistic Regression,41,0.8775510204081632,0.7037037037037037,0.40425531914893614,0.5135135135135135,0.8512361099147214
Preprocessed (All Features),Logistic Regression,42,0.8707482993197279,0.6956521739130435,0.3404255319148936,0.45714285714285713,0.8134206219312601
Preprocessed (All Features),Logistic Regression,43,0.8945578231292517,0.7857142857142857,0.46808510638297873,0.5866666666666667,0.8541648720820054
Preprocessed (All Features),Logistic Regression,44,0.8945578231292517,0.9,0.3829787234042553,0.5373134328358209,0.8426221035403566
Preprocessed (All Features),Logistic Regression,45,0.8639455782312925,0.6666666666666666,0.2978723404255319,0.4117647058823529,0.7850805409596003
Preprocessed (All Features),Logistic Regression,46,0.8707482993197279,0.6451612903225806,0.425531914893617,0.5128205128205128,0.8259109311740891
Preprocessed (All Features),Logistic Regression,47,0.8979591836734694,0.7931034482758621,0.48936170212765956,0.6052631578947368,0.8218623481781376
Preprocessed (All Features),Logistic Regression,48,0.9081632653061225,0.8571428571428571,0.5106382978723404,0.64,0.8497717288310794
Preprocessed (All Features),Logistic Regression,49,0.891156462585034,0.8571428571428571,0.3829787234042553,0.5294117647058824,0.8130760616762855
Preprocessed (All Features),Logistic Regression,50,0.8741496598639455,0.7083333333333334,0.3617021276595745,0.4788732394366197,0.8252218106641398
Preprocessed (All Features),Logistic Regression,51,0.8843537414965986,0.7407407407407407,0.425531914893617,0.5405405405405406,0.8772504091653027
Preprocessed (All Features),Logistic Regression,52,0.891156462585034,0.7419354838709677,0.48936170212765956,0.5897435897435898,0.8433973641140494
Preprocessed (All Features),Logistic Regression,53,0.9081632653061225,0.8846153846153846,0.48936170212765956,0.6301369863013698,0.8487380480661556
Preprocessed (All Features),Logistic Regression,54,0.8809523809523809,0.75,0.3829787234042553,0.5070422535211268,0.8167800844172626
Preprocessed (All Features),Logistic Regression,55,0.8707482993197279,0.7142857142857143,0.3191489361702128,0.4411764705882353,0.8124730812300802
Preprocessed (All Features),Logistic Regression,56,0.8639455782312925,0.6296296296296297,0.3617021276595745,0.4594594594594595,0.85545697303816
Preprocessed (All Features),Logistic Regression,57,0.8673469387755102,0.6818181818181818,0.3191489361702128,0.43478260869565216,0.8045481953656645
Preprocessed (All Features),Logistic Regression,58,0.8639455782312925,0.6129032258064516,0.40425531914893614,0.48717948717948717,0.7892152640192954
Preprocessed (All Features),Logistic Regression,59,0.8979591836734694,0.8148148148148148,0.46808510638297873,0.5945945945945946,0.8575243345680076
Preprocessed (All Features),Logistic Regression,60,0.891156462585034,0.8260869565217391,0.40425531914893614,0.5428571428571428,0.8389180807993798
Preprocessed (All Features),Logistic Regression,61,0.891156462585034,0.8571428571428571,0.3829787234042553,0.5294117647058824,0.8645878197949867
